p,q,r,output
PersonX does not introduce PersonX to PersonY,measured,xNeed,0
PersonX does not find PersonY's parents,Doesn't ask someone else,xAttr,0
PersonX does not tear PersonY's eyes,unsupportive,xWant,0
PersonX does not stop to help PersonY,don't reject person y,xReact,0
PersonX does not kiss PersonY deeply,selfish,xWant,0
PersonX does not pull pranks,not Victorious,xIntent,0
PersonX can wait for the date,not pressured,xAttr,0
PersonX does not know PersonY.,Finely he didn't singe,oReact,0
PersonX does not make PersonX's mom happy,out of the loop,oWant,0
PersonX does not bite PersonY's finger,narcissistic,xAttr,0
PersonX stays with PersonY's mom,dry,xNeed,0
PersonX does not rid the bus home,don't get a divorce,xAttr,0
PersonX does not advance towards PersonY,scared,xReact,0
PersonX does not like to cooperate with others.,Don't pack up their items,oReact,0
PersonX does not pull pranks,Victorious,xIntent,0
PersonX does not call customer service,distant,xWant,0
PersonX does not give PersonX's friends,not idle,xNeed,0
PersonX does not do text messages,not unnoticed,xAttr,0
PersonX can make ends meet.,to quit playing,xWant,0
PersonX does not pay all of PersonY's bills,to not crash the car,xReact,0
PersonX starts PersonX's vacation,Tries nothing new,xAttr,0
PersonX cooperates with others,To veg out,xIntent,0
PersonX can read PersonY's thoughts.,to make fun of PersonX,xNeed,0
PersonX does not meet PersonX's mom,stupid,oReact,0
PersonX does not make PersonX's rounds,not careful,xEffect,0
PersonX does not pull pranks,not incapable,xAttr,0
PersonX does not teach PersonY the basics,have a poor nights sleep,oWant,0
PersonX does not work closely with PersonY,not angry,xAttr,0
PersonX sends to jail,Glad,oWant,0
PersonX does not find PersonY's parents,not lazy,xAttr,0
PersonX does not place PersonY on the table,don't keep quiet,xNeed,0
PersonX doesn't tell anyone PersonX is going.,not Scare,xWant,0
PersonX leads PersonX's team to victory,pure,xAttr,0
PersonX is not very proud of PersonY,to talk to person y,xWant,0
PersonX bought a guitar.,be exclusive,xIntent,0
PersonX did not quickly open,not confident,xIntent,0
PersonX makes oatmeal,loses some self confidence,xEffect,0
PersonX does not ease PersonY's nerves,penniless,xReact,0
PersonX does not visit PersonX's parents,big,xEffect,0
PersonX does not move PersonY's furniture,don't talk to someone else,xReact,0
PersonX does not call PersonY's back,not uncaring,xIntent,0
PersonX does not try to cheer PersonY up,to stay in the neighborhood,xEffect,0
PersonX does not seem like PersonY,don't read books on resolution,xWant,0
PersonX doesn't eat it,count his money,xWant,0
PersonX tells PersonY to not go out in the rain,upset,xAttr,0
PersonX does not start PersonX's vacation,not disappointed,xAttr,0
PersonX believes PersonY,anxious,xReact,0
