p,q,r,output
PersonX asks PersonY nothing,respected,oReact,1
PersonX asks PersonY nothing,grateful,oReact,1
PersonX asks PersonY nothing,to ask what is happening,oWant,1
PersonX asks PersonY nothing,to inquire with other people,oWant,1
PersonX asks PersonY nothing,independent,xAttr,1
PersonX asks PersonY nothing,sure of themselves,xAttr,1
PersonX asks PersonY nothing,quiet,xAttr,1
PersonX asks PersonY nothing,bashful,xAttr,1
PersonX asks PersonY nothing,content,xAttr,1
PersonX asks PersonY nothing,complacent,xAttr,1
PersonX asks PersonY nothing,quiet,xAttr,1
PersonX asks PersonY nothing,timid,xAttr,1
PersonX asks PersonY nothing,to avoid what persony has to say,xIntent,1
PersonX asks PersonY nothing,to respect persony's boundaries,xIntent,1
PersonX asks PersonY nothing,to refrain from speaking,xNeed,1
PersonX asks PersonY nothing,to have no questions,xNeed,1
PersonX asks PersonY nothing,bored,xReact,1
PersonX asks PersonY nothing,disinterested,xReact,1
PersonX asks PersonY nothing,confortable,xReact,1
PersonX asks PersonY nothing,at ease,xReact,1
PersonX asks PersonY nothing,private,xReact,1
PersonX asks PersonY nothing,indpendent,xReact,1
PersonX asks PersonY nothing,anxious,xReact,1
PersonX asks PersonY nothing,cautious,xReact,1
PersonX asks PersonY nothing,to learn on their own,xWant,1
PersonX asks PersonY nothing,to discover the answer themself,xWant,1
PersonX asks PersonY nothing,to do their own work,xWant,1
PersonX asks PersonY nothing,be alone,xWant,1
PersonX asks PersonY nothing,to keep their mouth shut,xWant,1
PersonX asks PersonY nothing,to sing as a distraction,xWant,1
PersonX asks PersonY nothing,to stay quiet,xWant,1
PersonX asks PersonY nothing,to hold his peace,xWant,1
PersonX gives PersonY no tips,No money,oEffect,1
PersonX gives PersonY no tips,Poor morale,oEffect,1
PersonX gives PersonY no tips,frowns,oEffect,1
PersonX gives PersonY no tips,smirks,oEffect,1
PersonX gives PersonY no tips,cheated out what they are owed,oReact,1
PersonX gives PersonY no tips,disrespected at work,oReact,1
PersonX gives PersonY no tips,confront the patron,oWant,1
PersonX gives PersonY no tips,continue working,oWant,1
PersonX gives PersonY no tips,to get money,oWant,1
PersonX gives PersonY no tips,to be paid,oWant,1
PersonX gives PersonY no tips,wonder what they did wrong,oWant,1
PersonX gives PersonY no tips,tell colleagues about no tipping,oWant,1
PersonX gives PersonY no tips,cheap,xAttr,1
PersonX gives PersonY no tips,frugal,xAttr,1
PersonX gives PersonY no tips,greedy,xAttr,1
PersonX gives PersonY no tips,ungenerous,xAttr,1
PersonX gives PersonY no tips,cheap,xAttr,1
PersonX gives PersonY no tips,rude,xAttr,1
PersonX gives PersonY no tips,mean,xAttr,1
PersonX gives PersonY no tips,selfless,xAttr,1
PersonX gives PersonY no tips,gets complained at,xEffect,1
PersonX gives PersonY no tips,gets looked down on,xEffect,1
PersonX gives PersonY no tips,to punish bad service,xIntent,1
PersonX gives PersonY no tips,to cheap out,xIntent,1
PersonX gives PersonY no tips,to have received service from person y,xNeed,1
PersonX gives PersonY no tips,to be at a restaurant,xNeed,1
PersonX gives PersonY no tips,receiving service from PersonY,xNeed,1
PersonX gives PersonY no tips,conclude receiving service from PersonY,xNeed,1
PersonX gives PersonY no tips,selfish,xReact,1
PersonX gives PersonY no tips,mean,xReact,1
PersonX gives PersonY no tips,stingy,xReact,1
PersonX gives PersonY no tips,justified because of the bad service,xReact,1
PersonX gives PersonY no tips,jelous,xReact,1
PersonX gives PersonY no tips,lonely,xReact,1
PersonX gives PersonY no tips,secretive,xReact,1
PersonX gives PersonY no tips,selfish,xReact,1
PersonX gives PersonY no tips,to go out,xWant,1
PersonX gives PersonY no tips,to ask sorry to personY,xWant,1
PersonX gives PersonY no tips,complain to the manager,xWant,1
PersonX gives PersonY no tips,go home,xWant,1
PersonX gives PersonY no tips,to be cheap,xWant,1
PersonX gives PersonY no tips,to be rude,xWant,1
PersonX gives PersonY no tips,to avoid being noticed by PersonY,xWant,1
PersonX gives PersonY no tips,leave quickly,xWant,1
PersonX unties PersonY's hair,person y in loose hair,oEffect,1
PersonX unties PersonY's hair,person y loved by person x,oEffect,1
PersonX unties PersonY's hair,frowns,oEffect,1
PersonX unties PersonY's hair,smiles,oEffect,1
PersonX unties PersonY's hair,gets a new hairstyle,oEffect,1
PersonX unties PersonY's hair,gets compliments,oEffect,1
PersonX unties PersonY's hair,thankful,oReact,1
PersonX unties PersonY's hair,appreciative,oReact,1
PersonX unties PersonY's hair,excited,oReact,1
PersonX unties PersonY's hair,beautiful,oReact,1
PersonX unties PersonY's hair,thankful,oReact,1
PersonX unties PersonY's hair,relieved,oReact,1
PersonX unties PersonY's hair,loved,oReact,1
PersonX unties PersonY's hair,to accept the other's help,oWant,1
PersonX unties PersonY's hair,to sit with personX,oWant,1
PersonX unties PersonY's hair,to look good,oWant,1
PersonX unties PersonY's hair,to be happy,oWant,1
PersonX unties PersonY's hair,to lean in for a hug,oWant,1
PersonX unties PersonY's hair,to give a whistle,oWant,1
PersonX unties PersonY's hair,to stay still,oWant,1
PersonX unties PersonY's hair,to shake their head,oWant,1
PersonX unties PersonY's hair,thoughtless,xAttr,1
PersonX unties PersonY's hair,impulsive,xAttr,1
PersonX unties PersonY's hair,hairdresse,xAttr,1
PersonX unties PersonY's hair,helpful,xAttr,1
PersonX unties PersonY's hair,obnoxious,xAttr,1
PersonX unties PersonY's hair,displeasing,xAttr,1
PersonX unties PersonY's hair,romantic,xAttr,1
PersonX unties PersonY's hair,touchy-feely,xAttr,1
PersonX unties PersonY's hair,thanked,xEffect,1
PersonX unties PersonY's hair,slapped,xEffect,1
PersonX unties PersonY's hair,gets thanked,xEffect,1
PersonX unties PersonY's hair,gets paid,xEffect,1
PersonX unties PersonY's hair,to help person y,xIntent,1
PersonX unties PersonY's hair,to be closer to person y,xIntent,1
PersonX unties PersonY's hair,to groom PersonY,xIntent,1
PersonX unties PersonY's hair,to give PersonY a new style,xIntent,1
PersonX unties PersonY's hair,to help PersonY get ready for bed,xIntent,1
PersonX unties PersonY's hair,to comb PersonY's hair,xIntent,1
PersonX unties PersonY's hair,find personY,xNeed,1
PersonX unties PersonY's hair,know how to untie hair,xNeed,1
PersonX unties PersonY's hair,to undo the knot,xNeed,1
PersonX unties PersonY's hair,to find the ribbon,xNeed,1
PersonX unties PersonY's hair,to grab the tie,xNeed,1
PersonX unties PersonY's hair,to move to PersonY,xNeed,1
PersonX unties PersonY's hair,beneficial,xReact,1
PersonX unties PersonY's hair,nurturing,xReact,1
PersonX unties PersonY's hair,helpful,xReact,1
PersonX unties PersonY's hair,kind,xReact,1
PersonX unties PersonY's hair,creative,xReact,1
PersonX unties PersonY's hair,skilled,xReact,1
PersonX unties PersonY's hair,helpful,xReact,1
PersonX unties PersonY's hair,happy,xReact,1
PersonX unties PersonY's hair,aroused,xReact,1
PersonX unties PersonY's hair,talk to personY,xWant,1
PersonX unties PersonY's hair,help personY with hair,xWant,1
PersonX unties PersonY's hair,to let the hair flow,xWant,1
PersonX unties PersonY's hair,see what it looks like down,xWant,1
PersonX unties PersonY's hair,to kiss them,xWant,1
PersonX unties PersonY's hair,to tell them they look like a princess,xWant,1
PersonX unties PersonY's hair,to put the tie away,xWant,1
PersonX unties PersonY's hair,to fix the hair,xWant,1
PersonX spends less money,thrifty,xAttr,1
PersonX spends less money,responsible,xAttr,1
PersonX spends less money,cheap,xAttr,1
PersonX spends less money,thriving,xAttr,1
PersonX spends less money,frugal,xAttr,1
PersonX spends less money,anxious,xAttr,1
PersonX spends less money,responsible,xAttr,1
PersonX spends less money,careful,xAttr,1
PersonX spends less money,thinks about the savings,xEffect,1
PersonX spends less money,thinks about what to spend savings on,xEffect,1
PersonX spends less money,does very little,xEffect,1
PersonX spends less money,continues not caring,xEffect,1
PersonX spends less money,gets more money saved,xEffect,1
PersonX spends less money,gets looked up to for being frugal,xEffect,1
PersonX spends less money,To show they can,xIntent,1
PersonX spends less money,To be responsible,xIntent,1
PersonX spends less money,to save,xIntent,1
PersonX spends less money,to be thrifty,xIntent,1
PersonX spends less money,to save for vacation,xIntent,1
PersonX spends less money,to buy a new car,xIntent,1
PersonX spends less money,to overdraw his bank account,xNeed,1
PersonX spends less money,to lose his job,xNeed,1
PersonX spends less money,Frugal,xReact,1
PersonX spends less money,Responsible,xReact,1
PersonX spends less money,Grown up,xReact,1
PersonX spends less money,smart,xReact,1
PersonX spends less money,capable,xReact,1
PersonX spends less money,thrifty,xReact,1
PersonX spends less money,happy,xReact,1
PersonX spends less money,careful,xReact,1
PersonX spends less money,to save money for more important expenses,xWant,1
PersonX spends less money,to not have partner be angry with them,xWant,1
PersonX spends less money,to get a new job,xWant,1
PersonX spends less money,save more money,xWant,1
PersonX spends less money,to be debt free,xWant,1
PersonX spends less money,to buy a car,xWant,1
PersonX spends less money,to save money up,xWant,1
PersonX spends less money,to follow a budget,xWant,1
PersonX displeases PersonY's partner,gets mad at PersonX,oEffect,1
PersonX displeases PersonY's partner,fights with PersonX,oEffect,1
PersonX displeases PersonY's partner,loses a friend,oEffect,1
PersonX displeases PersonY's partner,gets confused,oEffect,1
PersonX displeases PersonY's partner,is offended,oEffect,1
PersonX displeases PersonY's partner,shakes in rage,oEffect,1
PersonX displeases PersonY's partner,sad,oReact,1
PersonX displeases PersonY's partner,angry,oReact,1
PersonX displeases PersonY's partner,anger,oReact,1
PersonX displeases PersonY's partner,frustration,oReact,1
PersonX displeases PersonY's partner,incensed,oReact,1
PersonX displeases PersonY's partner,provoked,oReact,1
PersonX displeases PersonY's partner,vexed,oReact,1
PersonX displeases PersonY's partner,indignant,oReact,1
PersonX displeases PersonY's partner,sulk,oWant,1
PersonX displeases PersonY's partner,be mad,oWant,1
PersonX displeases PersonY's partner,to tell PersonX off,oWant,1
PersonX displeases PersonY's partner,to go away from PersonX,oWant,1
PersonX displeases PersonY's partner,to get an apology,oWant,1
PersonX displeases PersonY's partner,to break up friendship,oWant,1
PersonX displeases PersonY's partner,off-putting,xAttr,1
PersonX displeases PersonY's partner,iconoclastic,xAttr,1
PersonX displeases PersonY's partner,objectionable,xAttr,1
PersonX displeases PersonY's partner,unpleasant,xAttr,1
PersonX displeases PersonY's partner,hurtful,xAttr,1
PersonX displeases PersonY's partner,unfriendly,xAttr,1
