p,q,r,output
PersonX sends PersonY no money,damage the book,xAttr,0
PersonX dislikes personY,not Ignore,xWant,0
PersonX is by no means selling cookies,frugal,xAttr,0
PersonX does nothing on PersonY's behalf,Be look in the eye,oEffect,0
PersonX has a little crush on PersonY,to not let persony give an answer,xReact,0
PersonX is rarely driving PersonY nuts,To not don't let persony give an answer,xReact,0
PersonX doesn't fail to add PersonY,to continue their research,xReact,0
PersonX gives nothing to PersonY,don't take care of something else,oReact,0
PersonX unpacks PersonY's stuff.,Don't avoid PersonY,xAttr,0
PersonX not at all grabs PersonY's purse,make them comfortable,xIntent,0
PersonX doesn't stop filling PersonY's pipe,unprepared,xNeed,0
PersonX opposes securing PersonY's release,not dishonest,xAttr,0
PersonX unwraps PersonY's legs from around PersonY's waist,to save room for other foods,xAttr,0
Person X is unsure of Person Y's position in the company,not unloved,xReact,0
PersonX is rarely driving PersonY nuts,to not let persony give an answer,xReact,0
PersonX avoids tricks.,to try and eat healthier,xWant,0
PersonX is by no means selling cookies,not introvert,xReact,0
PersonX under no circumstances lets PersonY sleep,not helpful,oWant,0
PersonX doesn't cease minding PersonX's business,Snubbed,xWant,0
PersonX never sees PersonY.,thank personX,xWant,0
PersonX doesn't disavow the real estate deed.,stay alone,xNeed,0
PersonX doesn't avoid PersonX's son.,gets thanked,xAttr,0
PersonX doesn't disown PersonX's mom,avoid escalating a situation,xIntent,0
PersonX undrapes herself across chest,appreciative,xEffect,0
PersonX avoids releasing PersonY's hand,Don't apologize to PersonY,oReact,0
PersonX avoids all contact with PersonY.,Don't play others sports,xWant,0
PersonX avoids dating others,to be friendly,xAttr,0
PersonX refused to take PersonY's order.,not annoyed,xWant,0
PersonX rarely doesn't give PersonY another chance,he is introduced to a lovely woman,oEffect,0
PersonX denies PersonY service.,Don't try new things,xWant,0
PersonX never helps PersonY.,don't maintain privacy,xAttr,0
PersonX avoids touching PersonY,don't rest,xAttr,0
PersonX doesn't disestablish PersonY organization,to not have partner be angry with them,xIntent,0
PersonX has never met PersonY's parents.,understanding,xWant,0
PersonX doesn't dislike PersonY's food,unqualified,xWant,0
PersonX makes PersonY feel like a failure.,not hostile,xWant,0
PersonX by no means doesn't return PersonY's phone,uncomfortable,xAttr,0
PersonX refuses to call on PersonY,is forced to call an ambulance,xIntent,0
PersonX has no influence,standoffish,xNeed,0
PersonX stops turning in homework,Doesn't get threatening phone calls,xEffect,0
PersonX refuses PersonY's advances.,not Irritate,xAttr,0
PersonX avoids moving back home,receive an apology,xWant,0
PersonX avoids PersonY's wife,not frowns,xIntent,0
PersonX avoids looking PersonY in the eye,unsupportive,oEffect,0
PersonX avoids PersonY.,worn out,xEffect,0
PersonX under no circumstances tells PersonY to call,not poor,xReact,0
PersonX doesn't dismantle PersonY's organization,tired of saving,xNeed,0
PersonX uncrosses PersonY's face,unomtivated,xNeed,0
PersonX unwinds the cord,to put away all of the things that were unloaded,xIntent,0
PersonX has problem with letting PersonY win,Speak to,xNeed,0
PersonX stops redoing PersonY's kitchen,not angry,xNeed,0
PersonX doesn't refuse to drive down the street,strict,xAttr,0
PersonX has trouble with doing PersonY's hair,not angry,oEffect,0
PersonX doesn't refuse to speak to PersonY.,calm,xIntent,0
PersonX doesn't ask PersonY nothing,interested,xIntent,0
PersonX denies PersonY power,someone to learn a lesson,xAttr,0
PersonX denies PersonY satisfaction,to ask PersonY out,xWant,0
PersonX hardly ever cuts the ribbon,becomes angry with person x,xIntent,0
PersonX didn't unveil PersonY,to hate person x's wife,oEffect,0
PersonX never asks PersonY.,To borrow money from another friend,xWant,0
PersonX leaves without paying.,to not waste hours on the phone,xNeed,0
PersonX isn't unmarried for 20 years,stubborn,xWant,0
PersonX isn't computer illiterate and runs from computers.,helpful,xAttr,0
PersonX not at all doesn't persuade PersonY to leave,caredful,xAttr,0
PersonX refuses to provide his insurance information,take finger off trigger,xWant,0
PersonX doesn't refuse to play beach volleyball,plan to meet friends,oWant,0
PersonX doesn't prevent themselves from loving video games,to play another game,xEffect,0
PersonX refuses to call on PersonY,be with other friends,xAttr,0
PersonX is usually somber and rarely laughs,not peaceful,xAttr,0
"PersonX dines alone, without PersonY",Doesn't look for a talent or trait in theirself,oWant,0
PersonX refuses to help PersonY.,obnoxious,xIntent,0
PersonX is unable to influence PersonY's ways,Don't share their own view,oWant,0
PersonX on no condition drops PersonY's arms,not mean,xWant,0
PersonX hardly ever kisses PersonY tenderly,tired,oEffect,0
PersonX stopped smoking cigarettes.,to save money,xReact,0
PersonX isn't in no way angry at PersonY,to fail persony,xAttr,0
PersonX avoids killing PersonY animal,Doesn't recieve a thank you,oWant,0
PersonX dishonors PersonY,not greedy,oEffect,0
PersonX avoids PersonX's son.,thinks about how empty the car trunk is,xWant,0
PersonX doesn't avoid PersonX's son.,thinks about how empty the car trunk is,xWant,0
PersonX doesn't unwrap PersonY's legs from around PersonY's waist,selfish,oWant,0
PersonX refuses to dance with PersonY.,accepted,xAttr,0
PersonX refuses to make love to PersonY,not Dismiss,xEffect,0
PersonX avoids buying a cake,the other person was rude,xEffect,0
PersonX hardly doesn't come to PersonY agreement,to move away,xReact,0
PersonX doesn't disown PersonX's mom,Devastated emotionally,xReact,0
PersonX has trouble with owing PersonY money,not safe,xNeed,0
PersonX refuses to help PersonY.,don't break things off,xWant,0
PersonX didn't stop PersonY's course.,relieved,oEffect,0
Person X avoids Person Y's friends.,not private,xReact,0
PersonX resists lying next to PersonY,tired of it all,xIntent,0
PersonX refuses to compromise with PersonY,Doesn't put on a frown,oEffect,0
PersonX hardly ever gets a job,Didn't decide,xWant,0
PersonX never met PersonY,like they want more tobacco,oEffect,0
PersonX prevents PersonY from staying,careless,oWant,0
PersonX never has a baby.,Doesn't have trouble getting a job,xReact,0
PersonX refuses to help PersonY.,antisocial,xIntent,0
PersonX makes PersonY feel like a failure.,Don't be person y boss,oWant,0
PersonX doesn't give PersonY no battle,to watch movie,oReact,0
PersonX gives nothing to PersonY,their friend choices to be respected,oWant,0
PersonX has problem with giving PersonY a book,argumentative,xNeed,0
PersonX disapproves following PersonY's home,agitated,xReact,0
PersonX is forbidden from the party.,don't ask PersonY if they want to see again,xEffect,0
PersonX opposes PersonY's weight,to help anyways,xAttr,0
PersonY is unconvinced by PersonX to do otherwise,persony to do it on own,xNeed,0
PersonX refuses to speak to PersonY when PersonY calls.,to get all their money back,oWant,0
PersonX is avoiding PersonY.,not hurt,xEffect,0
"PersonX doesn't dine alone, without PersonY",persony to be unsuccessful,oWant,0
PersonX denys PersonY treatment,not Reject,oEffect,0
PersonX avoids PersonY.,rejected,oReact,0
PersonX doesn't discontinue bringing PersonY inside,to avoid an accident,xNeed,0
PersonX doesn't disquiet PersonY's mind,is shunned,xWant,0
PersonX undos PersonY's function.,not closed-minded,xIntent,0
PersonX on no condition unpacks PersonY's things,gets yelled at,xNeed,0
PersonX disengages PersonY in conversation,to be working on person y's hair,oEffect,0
PersonX is unkind to PersonX,is alone,xAttr,0
PersonX avoids playing with PersonY's dad.,not greedy,xWant,0
PersonX not at all provides PersonY service,not determined,xAttr,0
PersonX refuses to cook breakfast for PersonY's family.,don't avoid being arrested,oEffect,0
PersonX avoids PersonY,unintelligent,oEffect,0
PersonX doesn't apply to few jobs,to talk to PersonX,xWant,0
PersonX unties PersonY's shoes,angry,xAttr,0
PersonX doesn't go well without PersonY,cries by himself,xReact,0
PersonX avoids taking pictures,to get a job,xReact,0
PersonX doesn't deny PersonY's request,bossy,xIntent,0
PersonX doesn't give PersonY no battle,gets a new friend,xReact,0
PersonX avoids PersonY.,not dishonest,xAttr,0
PersonX fails to end the relationship,to go to the zoo with their kids,xWant,0
PersonX denies PersonY's request,don't save room for other foods,xEffect,0
PersonX discontinues doing PersonY's research,Doesn't think a hacker will access his information,xAttr,0
PersonX avoids talking to PersonY.,not Love,oWant,0
PersonX hardly ever doesn't lift PersonY's hands,sneaky,xReact,0
PersonX doesn't give PersonY no tips,arrange an event,xNeed,0
PersonX is rarely PersonY's boyfriend,not upset,xIntent,0
PersonX avoids PersonY's parents.,be told that there is a problem,xWant,0
PersonX has no influence on PersonY decisions.,disgusted,xAttr,0
