p,q,r,output
PersonX does not keep PersonX's lips sealed,angry,oReact,1
PersonX does not keep PersonX's lips sealed,annoyed,oReact,1
PersonX does not keep PersonX's lips sealed,give PersonX an opinion,oWant,1
PersonX does not keep PersonX's lips sealed,tell PersonX to be quiet,oWant,1
PersonX does not keep PersonX's lips sealed,to listen to gossip,oWant,1
PersonX does not keep PersonX's lips sealed,to hear what PersonX has to say,oWant,1
PersonX does not keep PersonX's lips sealed,unsuccessful,xAttr,1
PersonX does not keep PersonX's lips sealed,annoyed,xAttr,1
PersonX does not keep PersonX's lips sealed,big mouth,xAttr,1
PersonX does not keep PersonX's lips sealed,too mouthy,xAttr,1
PersonX does not keep PersonX's lips sealed,loud,xAttr,1
PersonX does not keep PersonX's lips sealed,annoyed,xAttr,1
PersonX does not keep PersonX's lips sealed,talkative,xAttr,1
PersonX does not keep PersonX's lips sealed,untrustworthy,xAttr,1
PersonX does not keep PersonX's lips sealed,a gossip,xAttr,1
PersonX does not keep PersonX's lips sealed,gets yelled at,xEffect,1
PersonX does not keep PersonX's lips sealed,gets ignored,xEffect,1
PersonX does not keep PersonX's lips sealed,have PersonX's secrets revealed,xEffect,1
PersonX does not keep PersonX's lips sealed,disappoints in self,xEffect,1
PersonX does not keep PersonX's lips sealed,to blab,xIntent,1
PersonX does not keep PersonX's lips sealed,to spill the beans,xIntent,1
PersonX does not keep PersonX's lips sealed,to share the secret,xIntent,1
PersonX does not keep PersonX's lips sealed,to get attention,xIntent,1
PersonX does not keep PersonX's lips sealed,gain knowledge of an event,xNeed,1
PersonX does not keep PersonX's lips sealed,find someone else to tell to,xNeed,1
PersonX does not keep PersonX's lips sealed,to find out a secret,xNeed,1
PersonX does not keep PersonX's lips sealed,to be threatened to keep silent,xNeed,1
PersonX does not keep PersonX's lips sealed,to know secrets,xNeed,1
PersonX does not keep PersonX's lips sealed,to be speaking with others,xNeed,1
PersonX does not keep PersonX's lips sealed,noisy,xReact,1
PersonX does not keep PersonX's lips sealed,tired,xReact,1
PersonX does not keep PersonX's lips sealed,guilty,xReact,1
PersonX does not keep PersonX's lips sealed,abashed,xReact,1
PersonX does not keep PersonX's lips sealed,talkative,xReact,1
PersonX does not keep PersonX's lips sealed,friendly,xReact,1
PersonX does not keep PersonX's lips sealed,guilty,xReact,1
PersonX does not keep PersonX's lips sealed,regretful,xReact,1
PersonX does not keep PersonX's lips sealed,reveal secrets to others,xWant,1
PersonX does not keep PersonX's lips sealed,be social,xWant,1
PersonX does not keep PersonX's lips sealed,listen to another opinion,xWant,1
PersonX does not keep PersonX's lips sealed,see if the event is true,xWant,1
PersonX does not keep PersonX's lips sealed,to go to the police,xWant,1
PersonX does not keep PersonX's lips sealed,to share all the information,xWant,1
PersonX does not keep PersonX's lips sealed,to tell secrets,xWant,1
PersonX does not keep PersonX's lips sealed,to gossips,xWant,1
PersonX does not give PersonY a book,annoyed,oReact,1
PersonX does not give PersonY a book,saddened,oReact,1
PersonX does not give PersonY a book,look for new book,oWant,1
PersonX does not give PersonY a book,question action,oWant,1
PersonX does not give PersonY a book,to not return the book,oWant,1
PersonX does not give PersonY a book,to not read the book,oWant,1
PersonX does not give PersonY a book,to get the book,oWant,1
PersonX does not give PersonY a book,to find the book,oWant,1
PersonX does not give PersonY a book,selfish,xAttr,1
PersonX does not give PersonY a book,hoarding,xAttr,1
PersonX does not give PersonY a book,spiteful,xAttr,1
PersonX does not give PersonY a book,selfish,xAttr,1
PersonX does not give PersonY a book,unwilling,xAttr,1
PersonX does not give PersonY a book,ungiving,xAttr,1
PersonX does not give PersonY a book,didn't get person y anything,xIntent,1
PersonX does not give PersonY a book,to keep a book for himself,xIntent,1
PersonX does not give PersonY a book,they don't want to share,xIntent,1
PersonX does not give PersonY a book,they aren't finished with it,xIntent,1
PersonX does not give PersonY a book,have a book,xNeed,1
PersonX does not give PersonY a book,asked to give book,xNeed,1
PersonX does not give PersonY a book,to talk with person y,xNeed,1
PersonX does not give PersonY a book,to fight with person y,xNeed,1
PersonX does not give PersonY a book,to get a book,xNeed,1
PersonX does not give PersonY a book,to know PersonY,xNeed,1
PersonX does not give PersonY a book,disappointed in himself,xReact,1
PersonX does not give PersonY a book,cheap,xReact,1
PersonX does not give PersonY a book,sad,xReact,1
PersonX does not give PersonY a book,rude,xReact,1
PersonX does not give PersonY a book,selfish,xReact,1
PersonX does not give PersonY a book,immature,xReact,1
PersonX does not give PersonY a book,resentful,xReact,1
PersonX does not give PersonY a book,churlish,xReact,1
PersonX does not give PersonY a book,keep the book,xWant,1
PersonX does not give PersonY a book,give book to someone else,xWant,1
PersonX does not give PersonY a book,to relax,xWant,1
PersonX does not give PersonY a book,to drink juice,xWant,1
PersonX does not give PersonY a book,to not ask for the book back,xWant,1
PersonX does not give PersonY a book,to read the book,xWant,1
PersonX does not give PersonY a book,to keep the book,xWant,1
PersonX does not give PersonY a book,to do nothing,xWant,1
PersonX does not dry PersonY,develops a rash,oEffect,1
PersonX does not dry PersonY,forms a bedsore,oEffect,1
PersonX does not dry PersonY,becomes cold,oEffect,1
PersonX does not dry PersonY,cries,oEffect,1
PersonX does not dry PersonY,neglected,oReact,1
PersonX does not dry PersonY,wet,oReact,1
PersonX does not dry PersonY,upset,oReact,1
PersonX does not dry PersonY,uncomfortable,oReact,1
PersonX does not dry PersonY,to get dry,oWant,1
PersonX does not dry PersonY,to get PersonX wet,oWant,1
PersonX does not dry PersonY,to get dried off,oWant,1
PersonX does not dry PersonY,to find a towel,oWant,1
PersonX does not dry PersonY,to keep swimming until they are ready to stop,oWant,1
PersonX does not dry PersonY,to dry themsevles off,oWant,1
PersonX does not dry PersonY,inconsiderate,xAttr,1
PersonX does not dry PersonY,selfish,xAttr,1
PersonX does not dry PersonY,professional,xAttr,1
PersonX does not dry PersonY,respectful of boundaries,xAttr,1
PersonX does not dry PersonY,unhelpful,xAttr,1
PersonX does not dry PersonY,decorous,xAttr,1
PersonX does not dry PersonY,careless,xAttr,1
PersonX does not dry PersonY,uninterested,xAttr,1
PersonX does not dry PersonY,cried at,xEffect,1
PersonX does not dry PersonY,yelled at,xEffect,1
PersonX does not dry PersonY,to dry themself,xIntent,1
PersonX does not dry PersonY,for personY to be wet,xIntent,1
PersonX does not dry PersonY,to call person y,xNeed,1
PersonX does not dry PersonY,to talk to person y,xNeed,1
PersonX does not dry PersonY,to get PersonY wet,xNeed,1
PersonX does not dry PersonY,to know PersonY,xNeed,1
PersonX does not dry PersonY,to have a relationship with PersonY,xNeed,1
PersonX does not dry PersonY,to be present in a situation in which PersonY gets wet,xNeed,1
PersonX does not dry PersonY,irresponsible,xReact,1
PersonX does not dry PersonY,bad,xReact,1
PersonX does not dry PersonY,contented,xReact,1
PersonX does not dry PersonY,happy,xReact,1
PersonX does not dry PersonY,lucky,xReact,1
PersonX does not dry PersonY,unencumbered,xReact,1
PersonX does not dry PersonY,entertained,xReact,1
PersonX does not dry PersonY,pleased,xReact,1
PersonX does not dry PersonY,to be a good friend to person y,xWant,1
PersonX does not dry PersonY,to shake hands,xWant,1
PersonX does not dry PersonY,to give PersonY a towel,xWant,1
PersonX does not dry PersonY,to give PersonY a hair dryer,xWant,1
PersonX does not dry PersonY,to tell PersonY to dry off,xWant,1
PersonX does not dry PersonY,to hand them a towel,xWant,1
PersonX does not dry PersonY,to let PersonY continue swimming,xWant,1
PersonX does not dry PersonY,to respect PersonY's personal space,xWant,1
PersonX does not create PersonY atmosphere,unseen,oReact,1
PersonX does not create PersonY atmosphere,ignored,oReact,1
PersonX does not create PersonY atmosphere,trifled,oReact,1
PersonX does not create PersonY atmosphere,rushed,oReact,1
PersonX does not create PersonY atmosphere,Grown,oReact,1
PersonX does not create PersonY atmosphere,Lost,oReact,1
PersonX does not create PersonY atmosphere,annoyed,oReact,1
PersonX does not create PersonY atmosphere,offended,oReact,1
PersonX does not create PersonY atmosphere,challenge themselves to exist their own atmopshere,oWant,1
PersonX does not create PersonY atmosphere,acclimate to new atmosphere,oWant,1
PersonX does not create PersonY atmosphere,inconsiderate,xAttr,1
PersonX does not create PersonY atmosphere,selfish,xAttr,1
PersonX does not create PersonY atmosphere,uncaring,xAttr,1
PersonX does not create PersonY atmosphere,boring,xAttr,1
PersonX does not create PersonY atmosphere,dull,xAttr,1
PersonX does not create PersonY atmosphere,unstimulating,xAttr,1
PersonX does not create PersonY atmosphere,lazy,xAttr,1
PersonX does not create PersonY atmosphere,uncaring,xAttr,1
PersonX does not create PersonY atmosphere,to get to the point,xIntent,1
PersonX does not create PersonY atmosphere,to get right down to business,xIntent,1
PersonX does not create PersonY atmosphere,to stay out of it,xIntent,1
PersonX does not create PersonY atmosphere,to be unhelpful,xIntent,1
PersonX does not create PersonY atmosphere,to think about person y,xNeed,1
PersonX does not create PersonY atmosphere,to help person y,xNeed,1
PersonX does not create PersonY atmosphere,ineffective,xReact,1
PersonX does not create PersonY atmosphere,impotent,xReact,1
PersonX does not create PersonY atmosphere,no-nonsense,xReact,1
PersonX does not create PersonY atmosphere,rushed,xReact,1
PersonX does not create PersonY atmosphere,Busy,xReact,1
PersonX does not create PersonY atmosphere,Unconcerned,xReact,1
PersonX does not create PersonY atmosphere,proud,xReact,1
PersonX does not create PersonY atmosphere,pleased,xReact,1
PersonX does not create PersonY atmosphere,to stay home,xWant,1
PersonX does not create PersonY atmosphere,to go away,xWant,1
PersonX does not create PersonY atmosphere,to talk to person y,xWant,1
PersonX does not create PersonY atmosphere,to make person y comfortable,xWant,1
PersonX does not create PersonY atmosphere,enter a random atmosphere,xWant,1
