p,q,r,output
PersonX makes PersonY return,go to school,xAttr,0
PersonX makes PersonY return,Don't go to school,xAttr,0
PersonX doesn't make PersonY return,Don't go to school,xAttr,0
PersonX persuades the ___ to change,observant,oEffect,0
PersonX persuades the ___ to change,not observant,oEffect,0
PersonX doesn't persuade the ___ to change,not observant,oEffect,0
PersonX goes ___ with PersonX's friend,surprised,xEffect,0
PersonX goes ___ with PersonX's friend,not surprised,xEffect,0
PersonX doesn't go ___ with PersonX's friend,not surprised,xEffect,0
PersonX plays a ___ in the lives,Person X gets the money.,oWant,0
PersonX plays a ___ in the lives,Person X doesn't get the money.,oWant,0
PersonX doesn't play a ___ in the lives,Person X doesn't get the money.,oWant,0
PersonX teaches PersonY's children,waits for response,xNeed,0
PersonX teaches PersonY's children,Doesn't wait for response,xNeed,0
PersonX doesn't teach PersonY's children,Doesn't wait for response,xNeed,0
PersonX requires PersonY's attention,to have communication with colleagues,xAttr,0
PersonX requires PersonY's attention,don't have communication with colleagues,xAttr,0
PersonX doesn't require PersonY's attention,don't have communication with colleagues,xAttr,0
PersonX makes the sauce,boards the flight,xAttr,0
PersonX makes the sauce,Doesn't board the flight,xAttr,0
PersonX doesn't make the sauce,Doesn't board the flight,xAttr,0
PersonX asks for it,accomplished,xNeed,0
PersonX asks for it,not Accomplish,xNeed,0
PersonX doesn't ask for it,not Accomplish,xNeed,0
PersonX restores the ___ to PersonY's state,happy,xNeed,0
PersonX restores the ___ to PersonY's state,not happy,xNeed,0
PersonX doesn't restore the ___ to PersonY's state,not happy,xNeed,0
PersonX kneels down beside PersonY,verbose,xReact,0
PersonX kneels down beside PersonY,not verbose,xReact,0
PersonX kneels down beside PersonY,not verbose,xReact,0
PersonX gives PersonY a character,to give it as a gift for his birthday.,oReact,0
PersonX gives PersonY a character,don't give it as a gift for his birthday.,oReact,0
PersonX doesn't give PersonY a character,don't give it as a gift for his birthday.,oReact,0
PersonX finally found the perfect one,confirm edits,oEffect,0
PersonX finally found the perfect one,Don't confirm edits,oEffect,0
PersonX finally didn't find the perfect one,Don't confirm edits,oEffect,0
PersonX calls attention to the fact,warm,xReact,0
PersonX calls attention to the fact,not warm,xReact,0
PersonX doesn't call attention to the fact,not warm,xReact,0
PersonX feels proud of himself,gets excited to eat the food,xAttr,0
PersonX feels proud of himself,Doesn't get excited to eat the food,xAttr,0
PersonX doesn't feel proud of himself,Doesn't get excited to eat the food,xAttr,0
PersonX has never done it before,Is viewed as a fun-loving person,xAttr,0
PersonX has never done it before,Isn't viewed as a fun-loving person,xAttr,0
PersonX has done it before,Isn't viewed as a fun-loving person,xAttr,0
