p,q,r,output
PersonX practices all day,Improves their skiil,xEffect,1
PersonX cleans PersonY's bedroom,to clean other areas of the house,xWant,1
PersonX runs for class president,Isn't despised by hs enemies,xEffect,1
PersonX does not apply for jobs,don't have his own apartment.,xIntent,0
PersonX doesn't create the ___ in days,don't wrap up,xWant,1
PersonX applies for jobs,She gets a job as manager.,xEffect,1
PersonX does not run for class president,Don't see who wins,xWant,1
PersonX doesn't get the stain,not sloppy,xAttr,1
PersonX didn't make ___ the other day,don't buy ingredients,xNeed,1
PersonX did not cut swathes,not violent,xAttr,0
PersonX does not get everything PersonY needed,don't go shopping,xNeed,1
PersonX practices all day,Is inspired to practice more,oEffect,1
PersonX doesn't create the ___ in days,Don't name things,xWant,1
PersonX does not look PersonY's way,not Surprised to see x,oReact,0
PersonX creates the ___ in days,hurried,xReact,1
PersonX takes PersonY's outside,to spend time outside,xWant,1
PersonX gets everything PersonY needed,to rest,xWant,1
PersonX cuts swathes,gets exercise,xEffect,1
PersonX cuts swathes,to dispose of,xWant,1
PersonX does not go ___ after work,not good,xReact,1
PersonX holds PersonY's attention,to control him,xWant,1
PersonX does not reduce the ___ to levels,not breaking down,xAttr,0
PersonX creates the ___ in days,don't finish the work,xWant,0
PersonX does not run for class president,not political,xAttr,1
PersonX makes ___ the other day,Doesn't hear noise,xEffect,0
PersonX didn't learn how to bake a cake,not Accomplished,xReact,1
PersonX exchanges numbers,warm,xAttr,1
PersonX does not look PersonY's way,not wondering,xAttr,1
PersonX runs for class president,Make poster,xWant,1
PersonX didn't learn how to bake a cake,not satiated,oReact,1
PersonX does not run for class president,Don't apply to run,xNeed,1
PersonX does not clean PersonY's bedroom,not good.,xReact,0
PersonX reduces the ___ to levels,don't keep the levels low always,xWant,1
PersonX is not walking across the street,not content,xAttr,0
PersonX practices all day,to be the best,xIntent,1
PersonX cuts swathes,not happy,xReact,1
PersonX is walking across the street,gets a ticket for jwalking,xEffect,1
PersonX does not clean PersonY's bedroom,Doesn't get some windex,xEffect,1
PersonX is walking across the street,keeps walking,xEffect,1
PersonX doesn't take PersonY's outside,not playful,xAttr,1
PersonX does not get everything PersonY needed,not helpful and useful,xReact,1
PersonX learns how to bake a cake,to go to culinary school,xNeed,1
PersonX practices all day,learns something new,xEffect,1
PersonX helps another ___,accept assistance,oEffect,1
PersonX practices all day,impressive,xAttr,1
PersonX does not get everything PersonY needed,don't ask PersonY what is needed,xNeed,1
PersonX doesn't practice all day,Don't take part in the contest,xWant,1
PersonX goes ___ after work,to do something,xIntent,1
PersonX learns how to bake a cake,Doesn't gain life skill,xEffect,0
PersonX practices all day,not ready,xReact,1
PersonX doesn't practice all day,Isn't inspired to practice more,oEffect,1
PersonX helps another ___,assists,xEffect,1
PersonX finally got up,great,xAttr,0
PersonX helps another ___,get what they need.,oEffect,1
PersonX takes PersonY's outside,to play outside,xWant,1
PersonX doesn't hold PersonY's attention,Don't hold attention by saying or doing somethine,xNeed,1
PersonX takes PersonY's outside,Person Y doesn't accuse them of stealing.,xEffect,1
PersonX exchanges numbers,don't be social,xWant,0
PersonX doesn't create the ___ in days,not skillful,xAttr,1
PersonX reduces the ___ to levels,doesn't get elected,xEffect,1
PersonX does not clean PersonY's bedroom,don't make the bed,xNeed,1
PersonX doesn't smell something,don't know the real fact of things,xWant,0
