p,q,r,output
PersonX does not walk up to PersonY,to show off their new trim,xWant,0
PersonX does not walk up to PersonY,don't show off their new trim,xWant,0
PersonX walks up to PersonY,don't show off their new trim,xWant,0
PersonX is not in a car accident,is left alone,xReact,0
PersonX is not in a car accident,Isn't left alone,xReact,0
PersonX is in a car accident,Isn't left alone,xReact,0
PersonX does not wash PersonY,ashamed,xIntent,0
PersonX does not wash PersonY,Didn't ashame,xIntent,0
PersonX washes PersonY,Didn't ashame,xIntent,0
PersonX is not at the mall with PersonY's friends,silenced,xIntent,0
PersonX is not at the mall with PersonY's friends,Didn't silence,xIntent,0
PersonX is at the mall with PersonY's friends,Didn't silence,xIntent,0
PersonX can't afford PersonY opportunity,unseizing,xNeed,0
PersonX can't afford PersonY opportunity,not Unseize,xNeed,0
PersonX can afford PersonY opportunity,not Unseize,xNeed,0
PersonX does not sit down with PersonY,ashamed,xAttr,0
PersonX does not sit down with PersonY,Didn't ashame,xAttr,0
PersonX sits down with PersonY,Didn't ashame,xAttr,0
PersonX does not watch it together,to take a break,xAttr,0
PersonX does not watch it together,don't take a break,xAttr,0
PersonX does watch it together,don't take a break,xAttr,0
PersonX does not ask PersonY thought,train in a new career,xEffect,0
PersonX does not ask PersonY thought,Don't train in a new career,xEffect,0
PersonX asks PersonY thought,Don't train in a new career,xEffect,0
PersonX does not give PersonY the names,talk with personY,oReact,0
PersonX does not give PersonY the names,Don't talk with personY,oReact,0
PersonX gives PersonY the names,Don't talk with personY,oReact,0
PersonX does not send it to PersonY,is asked to cook,xAttr,0
PersonX does not send it to PersonY,Isn't asked to cook,xAttr,0
PersonX does send it to PersonY,Isn't asked to cook,xAttr,0
PersonX does not move far away,busy,xIntent,0
PersonX does not move far away,not busy,xIntent,0
PersonX moves far away,not busy,xIntent,0
PersonX did not bid PersonY farewell,nosy,xIntent,0
PersonX did not bid PersonY farewell,not nosy,xIntent,0
PersonX bade PersonY farewell,not nosy,xIntent,0
PersonX does not kiss PersonY softly,to not put in the effort,xReact,0
PersonX does not kiss PersonY softly,To not don't put in the effort,xReact,0
PersonX kisses PersonY softly,To not don't put in the effort,xReact,0
PersonX does not hurt PersonY much,call for directions,oWant,0
PersonX does not hurt PersonY much,Don't call for directions,oWant,0
PersonX hurts PersonY much,Don't call for directions,oWant,0
PersonX does not hold PersonY's face,look for employement,xIntent,0
PersonX does not hold PersonY's face,Don't look for employement,xIntent,0
PersonX holds PersonY's face,Don't look for employement,xIntent,0
PersonX does not wish PersonY a happy birthday,selfish,xWant,0
PersonX does not wish PersonY a happy birthday,not selfish,xWant,0
PersonX wishes PersonY a happy birthday,not selfish,xWant,0
PersonX does not let PersonY's play,pleased,oWant,0
PersonX does not let PersonY's play,Didn't please,oWant,0
PersonX lets PersonY's play,Didn't please,oWant,0
PersonX does not watch it together,to stay alone,xAttr,0
PersonX does not watch it together,don't stay alone,xAttr,0
PersonX does watch it together,don't stay alone,xAttr,0
PersonX won't speak to PersonY,find another job,oEffect,0
PersonX won't speak to PersonY,Don't find another job,oEffect,0
PersonX will speak to PersonY,Don't find another job,oEffect,0
PersonX does not get PersonY a new one,to find use for the wares,xAttr,0
PersonX does not get PersonY a new one,don't find use for the wares,xAttr,0
PersonX gets PersonY a new one,don't find use for the wares,xAttr,0
PersonX does not eat at a nice restaurant,confused,xReact,0
PersonX does not eat at a nice restaurant,not Confuse,xReact,0
PersonX eats at a nice restaurant,not Confuse,xReact,0
PersonX does not call all PersonY's friends,to cook,xReact,0
PersonX does not call all PersonY's friends,don't cook,xReact,0
PersonX calls all PersonY's friends,don't cook,xReact,0
PersonX does not ask PersonY to the prom,yelled at,xIntent,0
PersonX does not ask PersonY to the prom,Didn't yell at,xIntent,0
PersonX asks PersonY to the prom,Didn't yell at,xIntent,0
PersonX does not take PersonY fishing,forgetful,xReact,0
PersonX does not take PersonY fishing,Don't forgetful,xReact,0
PersonX takes PersonY fishing,Don't forgetful,xReact,0
PersonX does not pat PersonY's back,lonely,oReact,0
PersonX does not pat PersonY's back,not lonely,oReact,0
PersonX pats PersonY's back,not lonely,oReact,0
PersonX does not recruit PersonY,find another stylist,xReact,0
PersonX does not recruit PersonY,Don't find another stylist,xReact,0
PersonX recruits PersonY,Don't find another stylist,xReact,0
PersonX does not thank PersonX's mom,letdown,xNeed,0
PersonX does not thank PersonX's mom,not letdown,xNeed,0
PersonX thanks PersonX's mom,not letdown,xNeed,0
PersonX does not change PersonY's tire,proud,xIntent,0
PersonX does not change PersonY's tire,not proud,xIntent,0
PersonX changes PersonY's tire,not proud,xIntent,0
PersonX does not support PersonY's family,timid,oWant,0
PersonX does not support PersonY's family,not timid,oWant,0
PersonX supports PersonY's family,not timid,oWant,0
PersonX does not throw PersonY to the ground,Gets a poor result,xIntent,0
PersonX does not throw PersonY to the ground,Doesn't get a poor result,xIntent,0
PersonX throws PersonY to the ground,Doesn't get a poor result,xIntent,0
PersonX does not talk with PersonY,discourage contact,xWant,0
PersonX does not talk with PersonY,not discourage contact,xWant,0
PersonX talks with PersonY,not discourage contact,xWant,0
PersonX does not get the food,inconsiderate,xEffect,0
PersonX does not get the food,not inconsiderate,xEffect,0
PersonX gets the food,not inconsiderate,xEffect,0
PersonX does not hop in PersonY's car,unattractive,xAttr,0
PersonX does not hop in PersonY's car,not unattractive,xAttr,0
PersonX hops in PersonY's car,not unattractive,xAttr,0
PersonX does not do text messages,non-teaching,xReact,0
PersonX does not do text messages,not non-teaching,xReact,0
PersonX does text messages,not non-teaching,xReact,0
PersonX does not kill PersonY's husband,busy,oEffect,0
PersonX does not kill PersonY's husband,not busy,oEffect,0
PersonX kills PersonY's husband,not busy,oEffect,0
PersonX does not place PersonY on the table,mean,xIntent,0
PersonX does not place PersonY on the table,Don't mean,xIntent,0
PersonX places PersonY on the table,Don't mean,xIntent,0
PersonX does not push PersonY in,to avoid conflict,oWant,0
PersonX does not push PersonY in,don't avoid conflict,oWant,0
PersonX pushes PersonY in,don't avoid conflict,oWant,0
PersonX does not move back to PersonY,selfish,xReact,0
PersonX does not move back to PersonY,not selfish,xReact,0
PersonX moves back to PersonY,not selfish,xReact,0
PersonX does not correct PersonY error,upset,xAttr,0
PersonX does not correct PersonY error,Don't upset,xAttr,0
PersonX corrects PersonY error,Don't upset,xAttr,0
PersonX does not wreck PersonY's car,lock their door,xAttr,0
PersonX does not wreck PersonY's car,Don't lock their door,xAttr,0
PersonX wrecks PersonY's car,Don't lock their door,xAttr,0
PersonX does not advance toward PersonY,odd,xWant,0
PersonX does not advance toward PersonY,not odd,xWant,0
PersonX advances toward PersonY,not odd,xWant,0
PersonX does not visit PersonX's uncle,mature,oWant,0
PersonX does not visit PersonX's uncle,Don't mature,oWant,0
PersonX visits PersonX's uncle,Don't mature,oWant,0
PersonX does not pressure PersonY,be at the store,oEffect,0
PersonX does not pressure PersonY,Don't be at the store,oEffect,0
PersonX pressures PersonY,Don't be at the store,oEffect,0
PersonX does not begin PersonY work,sad,oReact,0
PersonX does not begin PersonY work,not sad,oReact,0
PersonX begins PersonY work,not sad,oReact,0
PersonX does not use PersonY's laptop,apologizes to persony,oReact,0
PersonX does not use PersonY's laptop,Doesn't apologize to persony,oReact,0
