p,q,r,output
PersonX makes PersonY remark,sees the sites,oEffect,0
PersonX rips in half,don't look in the closet,oReact,0
PersonX wants nothing to do with PersonY,loses person y,xAttr,0
PersonX catches lots of fish,not laugh,xReact,0
PersonX works for an hour,He doesn't see anyone.,xIntent,0
PersonX scores a touchdown,less thirsty,xNeed,0
PersonX doesn't ask PersonY what happened,they see what they need,oEffect,0
PersonX pulls PersonY's pants,not blissful,xEffect,0
PersonX buys another,Can't now afford to buy more things,xReact,0
PersonX tells PersonY did not want,to ask their parents if they can take it,xReact,0
PersonX doesn't pull PersonY's pants,frowns,xWant,0
PersonX uses PersonY's thumb,not cautious,oReact,0
PersonX comes ___ for the holidays,to muster up courage,xReact,0
PersonX buys some chips,not gracious,xWant,0
PersonX scores a touchdown,less thirsty,xNeed,0
PersonX practices ___ for a month,to hide from PersonY,xEffect,0
PersonX keeps the ___ afloat,not excited,xWant,0
PersonX paves the road to hell,Doesn't go to firefighting academy,oWant,0
PersonX doesn't eat apples,to have left keys inside house,xNeed,0
PersonX preaches ___ to the poor,they get startled,xEffect,0
PersonX doesn't require PersonY explanation,social,xWant,0
PersonX doesn't take part in life,to fight his stage fear,xEffect,0
PersonX doesn't kill PersonY's brother,emotional,xIntent,0
PersonX tears PersonY to pieces,to get to know PersonX,xAttr,0
PersonX diagnoses with cancer,don't live with his wife,xEffect,0
PersonX develops PersonY understanding,don't do something concrete.,oEffect,0
PersonX puts ___ in PersonY's car,loses money,xAttr,0
PersonX comes ___ for the holidays,don't play the game,xAttr,0
PersonX doesn't put ___ on the bed,satisfied,xReact,0
PersonX hosts ___ at PersonY's house,Doesn't get hits,oWant,0
PersonX makes jewelry,Gets lose,xEffect,0
PersonX wants nothing to do with PersonY,Don't enlighten other people on a subject,oReact,0
PersonX doesn't stab in the back,frowns,xNeed,0
PersonX takes PersonY's revenge,"Experiences feeling of superiority, intelligence",xWant,0
PersonX doesn't find PersonX's hotel,buys a ring,xEffect,0
PersonX delights in ___,don't be nasty,xEffect,0
PersonX doesn't make a pie with PersonY,to go to the counter,xEffect,0
PersonX decides to smoke,drinks,xIntent,0
PersonX shares PersonX's experiences,grubby,xNeed,0
PersonX provides ___ in regard,Doesn't get a raise,oWant,0
PersonX drives so fast,To be elect leader,xIntent,0
PersonX carries PersonX's weight,determined,xReact,0
PersonX pursues PersonX's course,happy and healthy,xAttr,0
PersonX hits the gas,happy to help,xAttr,0
PersonX kills PersonY instantly,gather supplies,xAttr,0
PersonX uses PersonY's thumb,not Devastate,oEffect,0
PersonX doesn't show PersonY how to play,PersonX to check for calls,oEffect,0
PersonX wants to be a firefighter,to take over PersonY's job,xNeed,0
PersonX turns the light on,to have permission,xReact,0
PersonX wants nothing to do with PersonY,not stressed,xWant,0
PersonX gives PersonY a character,don't move on,oEffect,0
PersonX doesn't take ___ together,No diffrent,oEffect,0
PersonX begins to spread,not ashamed,xIntent,0
PersonX doesn't try to catch it,"is asked questions of (welfare, etc)",xEffect,0
PersonX doesn't get to see PersonY,good,oWant,0
PersonX starts the day,pay someone else to do PersonX's work,xReact,0
PersonX has to stay home,to do multiple things at once,xNeed,0
PersonX helps PersonX's family,helpful,xReact,0
PersonX doesn't clean PersonY's bathroom,to know that person y made it home safely,oWant,0
PersonX becomes sick,wants to return a favor,xWant,0
PersonX has lots of fun,to hug their girlfriend,xEffect,0
PersonX doesn't want to dye PersonX's hair,to shake PersonX off,xAttr,0
PersonX doesn't get PersonY started,to restore persony to health,xReact,0
PersonX doesn't spend a week with PersonY,Punishes Y,oWant,0
PersonX takes PersonX's first step,resilient,oReact,0
